url,label
https://www.google.com,0
https://www.amazon.in,0
https://www.facebook.com,0
https://www.youtube.com,0
https://www.paytm.com,0
http://secure-login@paytm-verify.xyz,1
http://update-account-google-login.ml,1
http://verify-bank-details-now.tk,1
http://login-secure-amazon.xyz,1
http://facebook-security-check.ga,1
http://account-verify-paytm-alert.cf,1
https://mail.google.com,0
https://github.com,0
http://secure-update-login-bank.xyz,1
http://verify-account-security-alert.ml,1
